Number ,tweetDate,twitterId,Code,text,tweetLink,RT,Likes,timestamp,query
1,Thu May 04 07:32:17 +0000 2023,4104286125,,Arranca en Barcelona la campaña “El diagnóstico precoz parte de ti” de AstraZeneca para concienciar sobre enfermedad renal crónica insuficiencia cardiaca y diabetes https://t.co/Do0uRFmjUU,https://twitter.com/NewsEdad/status/1654026144805421058,,,6/3/23 10:22,astrazeneca barcelona
2,Wed May 10 21:43:48 +0000 2023,559891963,,"https://t.co/RVfFHhUjt8
La lletra petita de la inversió de 800 MEUR d'AstraZeneca a Barcelona",https://twitter.com/JosepTraveler/status/1656414761288974336,,,6/3/23 10:22,astrazeneca barcelona
3,Thu May 04 06:27:44 +0000 2023,1.05264E+18,,"👉 AstraZeneca instal·la un autobús al centre de Barcelona per detectar persones amb malalties del cor

https://t.co/N9cHGyunNS",https://twitter.com/TotBcn/status/1654009898307297301,,,6/3/23 10:22,astrazeneca barcelona
4,Wed Apr 26 11:25:02 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/PofyU82B2d https://t.co/jiVaenYuDk",https://twitter.com/elperiodico/status/1651185611632508929,,,6/3/23 10:22,astrazeneca barcelona
5,Sat Apr 29 15:38:54 +0000 2023,303150193,,Así será el nuevo 'hub' de I+D de AstraZeneca en Barcelona @elperiodico https://t.co/WMVcquVCDt,https://twitter.com/jmferrebargallo/status/1652336666818772993,,,6/3/23 10:22,astrazeneca barcelona
6,Wed Apr 26 07:25:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/JNboYfEqtl https://t.co/lBFiWkKi8j",https://twitter.com/elperiodico/status/1651125212891471874,,,6/3/23 10:22,astrazeneca barcelona
7,Tue Apr 25 20:25:02 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/NvlVV2jBGW https://t.co/Ge7SbKSxTS",https://twitter.com/elperiodico/status/1650959119677812760,,,6/3/23 10:22,astrazeneca barcelona
8,Tue Apr 25 18:10:02 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/HO9yq8jVBw https://t.co/sdbrfjAV7L",https://twitter.com/elperiodico/status/1650925146771693577,,,6/3/23 10:22,astrazeneca barcelona
9,Tue May 30 13:15:45 +0000 2023,25497028,,Apply for the QA Manager Audit - R&ampD QA Gothenburg Barcelona Mississauga open position at AstraZeneca on New Scientist Jobs today. #science #jobs https://t.co/TeTXhWbsEB,https://twitter.com/Science_Jobs/status/1663534662830915587,,,6/3/23 10:22,astrazeneca barcelona
10,Sun May 14 12:47:58 +0000 2023,106784976,,@agenersurrell L'aposta d' AstraZeneca per Barcelona a estat decisiu la familia del que va ser una referència internacional contra el cáncer Josep Balselga,https://twitter.com/mapamundial1/status/1657729467878453248,,,6/3/23 10:22,astrazeneca barcelona
11,Thu Apr 27 11:10:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/Tl6qob7Tve https://t.co/nGdUVDb7xw",https://twitter.com/elperiodico/status/1651544221872971778,,,6/3/23 10:22,astrazeneca barcelona
12,Wed May 10 21:44:55 +0000 2023,559891963,,"https://t.co/ZMyRWKjbFd
AstraZeneca contractarà 1.000 persones a Barcelona
La companyia construirà un 'hub' a la capital catalana",https://twitter.com/JosepTraveler/status/1656415043058106369,,,6/3/23 10:22,astrazeneca barcelona
13,Thu Apr 27 05:05:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/9WQyM8rFYW https://t.co/QHSfsv724b",https://twitter.com/elperiodico/status/1651452366544158720,,,6/3/23 10:22,astrazeneca barcelona
14,Wed May 17 12:49:48 +0000 2023,1.61034E+18,,The next part of the #HealthRevolutionCongress has started! It’s now up to @AstraZeneca #nen and BHH’s @cpascualf on the main stage to talk about the health revolution in the age of #AI. Tune in now! 🚀 https://t.co/aIIN1hMK9J,https://twitter.com/HRC_Barcelona/status/1658817089849774080,,,6/3/23 10:22,astrazeneca barcelona
15,Wed Apr 26 18:50:02 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/aEUBli9kR8 https://t.co/9Z0dj3ACB5",https://twitter.com/elperiodico/status/1651297600350322711,,,6/3/23 10:22,astrazeneca barcelona
16,Fri May 26 11:31:00 +0000 2023,1.36233E+18,,“Astrazeneca multiplica su apuesta por Barcelona con una inversión de 800 millones2 de @newbcnpost #ConstruimBarcelona https://t.co/e6rnXi8iRV,https://twitter.com/BCN_construim/status/1662058750210109440,,,6/3/23 10:22,astrazeneca barcelona
17,Wed May 03 10:55:16 +0000 2023,3345630046,,"Hoy estamos en Barcelona presentando la campaña “EL DIAGNÓSTICO PRECOZ PARTE DE TI” con el objetivo de concienciar sobre la importancia de la detección precoz de la enfermedad renal crónica la insuficiencia cardiaca y la diabetes.♥️

@AstraZeneca @FEDER_ONG @FNALCER https://t.co/AvFhmitSoW",https://twitter.com/Cardioalianza/status/1653714837921202180,,,6/3/23 10:22,astrazeneca barcelona
18,Wed Apr 26 05:25:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/nKpKtp2ZRb https://t.co/mxkXmMhtUb",https://twitter.com/elperiodico/status/1651095013164568576,,,6/3/23 10:22,astrazeneca barcelona
19,Sat Apr 01 11:45:02 +0000 2023,573644437,,AstraZeneca abrirá otro centro de investigación en Barcelona https://t.co/ZGnhH1nacX,https://twitter.com/salirporbarcelo/status/1642130948471889920,,,6/3/23 10:22,astrazeneca barcelona
20,Wed Apr 12 16:03:21 +0000 2023,278048661,,"🤝 @AstraZeneca to invest €800M and create 1000 new jobs in Barcelona with the largest-ever foreign R&ampD investment in Catalonia.

Read the full news here🔗 https://t.co/bDgVHyhVEA

@Catalonia_TI @accio_cat https://t.co/TvZqiTIFeB",https://twitter.com/ECHAlliance/status/1646182225518505985,,,6/3/23 10:22,astrazeneca barcelona
21,Sun Apr 16 20:00:12 +0000 2023,573644437,,AstraZeneca abrirá otro centro de investigación en Barcelona https://t.co/a1Fegf4BId,https://twitter.com/salirporbarcelo/status/1647691382163685376,,,6/3/23 10:22,astrazeneca barcelona
22,Sat Apr 08 08:00:02 +0000 2023,258037819,,🧑🏻‍🔬#Cataluña : @AstraZeneca invertirá 800 millones de euros y creará 1.000 nuevos #empleos en #Barcelona. Más información en nuestro artículo. https://t.co/nhWBDKw3yP @accio_cat @rogertorrent @empresacat https://t.co/oPQgExjmw8,https://twitter.com/ecom_news/status/1644611040271818752,,,6/3/23 10:22,astrazeneca barcelona
23,Wed Mar 29 08:47:40 +0000 2023,194064099,,“AstraZeneca va a convertir Barcelona en una referencia” https://t.co/2314110hDq,https://twitter.com/soler_toni/status/1640999152233447424,,,6/3/23 10:22,astrazeneca barcelona
24,Tue Apr 25 14:10:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/6RMfPpm9uV https://t.co/xPMgqJjuBO",https://twitter.com/elperiodico/status/1650864746328129536,,,6/3/23 10:22,astrazeneca barcelona
25,Wed Mar 29 15:32:55 +0000 2023,93649547,,"💬 Des de #Biocat hi participem amb el #CEO @robertfabregat que presenta dades de l'#InformeBioRegió i repassa nous equipaments i noves inversions com la d'@AstraZeneca.

📆 També destaca propers esdeveniments a #Barcelona com #BioSpain2023.

""Les notícies són molt bones"". https://t.co/J3sv1drKMN",https://twitter.com/biocat_cat/status/1641101134092697601,,,6/3/23 10:22,astrazeneca barcelona
26,Tue Apr 18 07:17:02 +0000 2023,27129149,,Great to be back here at #repharma2023 in Barcelona - hope you can join me as I chair the marketing track tomorrow and speak with @AstraZeneca’s Andrew Binns on Thu morning https://t.co/378cM1g3nt,https://twitter.com/PTunnah/status/1648224097569054723,,,6/3/23 10:22,astrazeneca barcelona
27,Sun Apr 09 11:00:02 +0000 2023,258037819,,🩺 #Cataluña: @AstraZeneca creará un clúster de #profesionales para desarrollar nuevas #terapias y atender las #necesidades sanitarias de la región. Una acción que generará 1.000 nuevos #empleos en #Barcelona. Análisis. https://t.co/m6PpVt7p4T @accio_cat @rogertorrent @empresacat https://t.co/3dlCOOkzQD,https://twitter.com/ecom_news/status/1645018727816232960,,,6/3/23 10:22,astrazeneca barcelona
28,Sun Apr 23 06:20:05 +0000 2023,2558756016,,"#AstraZeneca invertirá 800 millones en su centro europeo de I+D de #Barcelona y creará 1.000 empleos
y buscará nuevas terapias para sus cinco áreas clave En su centro de #Barcelona de ensayos clínicos para enfermedades raras ya trabajan 90 profesionales.
https://t.co/IJNM2W0g3I https://t.co/1IWQrB0pGk",https://twitter.com/anahdezbonancia/status/1650021704826073089,,,6/3/23 10:22,astrazeneca barcelona
29,Tue Apr 18 15:00:13 +0000 2023,1.3419E+18,,REUTERS (Barcelona) — AstraZeneca is confident that its new version of COVID-19 antibody treatment could protect immunocompromised patients against all known virus variants its vaccines head said. https://t.co/rVNCWFrovr,https://twitter.com/MVNews670/status/1648340664281706502,,,6/3/23 10:22,astrazeneca barcelona
30,Thu Mar 30 09:36:11 +0000 2023,8.30095E+17,,"🔊 “AstraZeneca obrirà un hub a Barcelona on oferirà 1.000 llocs de treball” diu @lljunca a @catalunyaradio #RevolucióCatRàdio

https://t.co/9Wy9EFM7x2",https://twitter.com/Revolucio4/status/1641373749118107649,,,6/3/23 10:22,astrazeneca barcelona
31,Tue Apr 18 10:24:11 +0000 2023,246751440,,"España sigue perfilándose como un ""hub"" tecnológico: AstraZeneca abrirá 1.000 empleos en Barcelona.
https://t.co/TUAXRW8Ax7",https://twitter.com/empleo_idi/status/1648271196222357504,,,6/3/23 10:22,astrazeneca barcelona
32,Wed Apr 05 18:38:00 +0000 2023,9.6376E+17,,"AstraZeneca invertirà 800 milions i crearà 1.000 llocs de feina a Barcelona en cinc anys / Les xifres d’inversió estrangera a Catalunya durant el 2022 han batut nou rècord 👉 Ho explica @ramonrocaribo a @LaRepCat 

https://t.co/WWgZlvnvE9",https://twitter.com/LaRepCat/status/1643684427002961922,,,6/3/23 10:22,astrazeneca barcelona
33,Tue Apr 25 10:25:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/2KrMJyEMgw https://t.co/OoNIAhCXOI",https://twitter.com/elperiodico/status/1650808122909372416,,,6/3/23 10:22,astrazeneca barcelona
34,Tue Apr 25 12:05:01 +0000 2023,198829810,,"👥 Con Lluís Torner fundador y director de ICFO

- Gonzalo de Miquel Head of the AstraZeneca Global R&ampD Hub in Barcelona

- Elisabet de los Pinos Founder &amp CEO Aura Biosciencies 

📅Jueves 27 19h  
 👇Inscríbete gratis aquí https://t.co/oE1njhTZ3e https://t.co/I0tYHeLOQg",https://twitter.com/elperiodico/status/1650833288703901697,,,6/3/23 10:22,astrazeneca barcelona
35,Mon Apr 03 07:49:05 +0000 2023,1204681459,,"EL MÉS LLEGIT DE LA SETMANA 9⃣ | La lletra petita de la inversió de 800 MEUR d'AstraZeneca a Barcelona.

Rick Suárez president de la companyia a Espanya vincula l'aportació a ""l'estabilitat del país""

Per @aleixrm 

https://t.co/rQpxg3oi2r",https://twitter.com/VIAEmpresa/status/1642796348704423937,,,6/3/23 10:22,astrazeneca barcelona
36,Sun Apr 09 15:00:01 +0000 2023,258037819,,🧑🏻‍🔬#Cataluña : @AstraZeneca invertirá 800 millones de euros y creará 1.000 nuevos #empleos en #Barcelona. Más información en nuestro artículo. https://t.co/m6PpVt7p4T @accio_cat @rogertorrent @empresacat https://t.co/bY8obmfuvc,https://twitter.com/ecom_news/status/1645079121935089669,,,6/3/23 10:22,astrazeneca barcelona
37,Mon Apr 03 13:31:16 +0000 2023,249255884,,"🤝 M'he reunit amb @AstraZeneca per conèixer les activitats i inversions que preveuen fer a Catalunya els propers anys
 
🔬 Barcelona acollirà el hub global d'I+D #HUBAstraZeneca que crearà un miler de llocs de treball

📌 Volem ser pioners en les ciències de la vida i la salut https://t.co/HrBKOji27j",https://twitter.com/albaverges/status/1642882458839404547,,,6/3/23 10:22,astrazeneca barcelona
38,Thu Mar 30 20:04:57 +0000 2023,9.12365E+17,,"4 - AstraZeneca va a convertir Barcelona en una referencia.
5 - Grandes empresas Agbar Naturgy o CaixaBank apoyan primera aceleradora medioambiental en el mediterráneo.
...Pues son noticias reales de hoy!!!",https://twitter.com/Santiag47117898/status/1641531981010706444,,,6/3/23 10:22,astrazeneca barcelona
39,Fri Mar 24 17:34:39 +0000 2023,3308093475,,#AstraZeneca invertirá 800 millones en un 'hub' de innovación en salud en Barcelona https://t.co/R4GXKyatS9 #PMFarma #empleo #salud via @pmfarma,https://twitter.com/Mr_C_Wadd/status/1639319833165586432,,,6/3/23 10:22,astrazeneca barcelona
40,Tue Mar 28 10:03:07 +0000 2023,69679441,,"💉AstraZeneca invertirà 800 M€ en cinc anys en el seu nou hub de Barcelona. Es tracta de la inversió en recerca més gran de la història de Catalunya però es computarà aquí o a Madrid (donat que és on AZ té la seu)? 
El misteri by @RigolAlbert 
https://t.co/eS1GH1Nw6R",https://twitter.com/carlotaserra/status/1640655750593671169,,,6/3/23 10:22,astrazeneca barcelona
41,Sun Mar 26 20:20:29 +0000 2023,104849271,,"#BonaNotícia: inversió històrica de 800 M€ d’ #AstraZeneca a #Barcelona. Magnífica aposta per a la #biomedicina a #Catalunya !!
👇👇👇👇 https://t.co/PcNtDXkrfC",https://twitter.com/ramontremosa/status/1640086340476850179,,,6/3/23 10:22,astrazeneca barcelona
42,Fri Mar 24 20:48:55 +0000 2023,244095311,,AstraZeneca tria Barcelona per obrir el nou Centre europeu d’R+D biomèdica – M'agrada Catalunya https://t.co/zqMHlBl3Ud,https://twitter.com/maguivs/status/1639368720102604806,,,6/3/23 10:22,astrazeneca barcelona
43,Mon Mar 27 06:11:31 +0000 2023,1194745704,,"Inversión histórica de @AstraZeneca en #Barcelona
(800M€ y contratación de 1.000 profesionales de alto nivel académico). 
Barcelona hub europeo en Ciencias de la Salud. 
Entrevista de Iñaki de las Heras a Rick Suárez vía @LaVanguardia https://t.co/wPLqYIwJSu",https://twitter.com/agenersurrell/status/1640235077593358336,,,6/3/23 10:22,astrazeneca barcelona
44,Fri Mar 24 20:27:23 +0000 2023,1.21422E+18,,@Roberto_Montesa @ArquerodeItuero Pues AstraZeneca abre un centro de investigación de enfermedades raras en Barcelona que creará 1.000 puestos de trabajo…,https://twitter.com/aljawarmilsim/status/1639363302504423429,,,6/3/23 10:22,astrazeneca barcelona
45,Tue Mar 28 08:41:35 +0000 2023,305816477,,AstraZeneca invertirá 800 millones en un ‘hub’ de investigación en Barcelona con mil nuevos puestos de trabajo https://t.co/Ul7u2kTP9c,https://twitter.com/rachescat/status/1640635230385045507,,,6/3/23 10:22,astrazeneca barcelona
46,Mon Mar 27 13:01:58 +0000 2023,230802392,,Some good new for Barcelona with the creation of 1000 new AstraZeneca #pharmaceutical #jobs as part of an €800m #investment https://t.co/vBGVQfDkL8,https://twitter.com/PaulBeachAL/status/1640338372320284672,,,6/3/23 10:22,astrazeneca barcelona
47,Mon Mar 27 18:01:52 +0000 2023,230706367,,@agenersurrell @AstraZeneca @LaVanguardia Muy buena noticia para un padre como yo con un hijo estudiando primero del doble grado en matemáticas y física y con la esperanza de que no se vea obligado en el futuro a irse de Barcelona para desarrollar su carrera laboral.,https://twitter.com/Xav_CG/status/1640413843179356185,,,6/3/23 10:22,astrazeneca barcelona
48,Mon Mar 27 06:38:45 +0000 2023,2854680832,,@agenersurrell @AstraZeneca @LaVanguardia “Barcelona ya es una referencia en la investigación clínica” @CataloniaBioHT @biocat_en,https://twitter.com/montse_barcelo/status/1640241930125692929,,,6/3/23 10:22,astrazeneca barcelona
49,Mon Mar 27 09:31:33 +0000 2023,1034531058,,"A l'entrevista a Rock Suarez director d'AstraZeneca queda molt clar que la inversió està condicionada a ""l'estabilitat política"".
Rubrica insistint amb el marc territorial de Barcelona com a ciutat puntera espanyola.
I ERC i Junts aplaudint! https://t.co/JRMMQqdP4I",https://twitter.com/bashachanguerra/status/1640285418510864385,,,6/3/23 10:22,astrazeneca barcelona
50,Fri Mar 24 11:23:42 +0000 2023,2543778775,,"AstraZeneca pone en marcha un nuevo 'hub' de investigación en Barcelona con foco en cinco áreas: oncología enfermedades cardiovasculares y metabólicas enfermedades respiratorias vacunas e inmunoterapia y enfermedades raras. 
Conoce más ➡@EFEnoticias  https://t.co/56oAc2744R.",https://twitter.com/AstraZenecaES/status/1639226479371513856,,,6/3/23 10:22,astrazeneca barcelona
51,Fri Mar 24 10:58:39 +0000 2023,534398424,,Con una inversión de unos 800 millones de euros de aquí a 5 años AstraZeneca creará 1.000 puestos de trabajo científicos y de alta tecnología en su nuevo centro europeo de I D de Barcelona: AstraZeneca invertirá unos 800 millones de euros de... https://t.co/PUQ9EbxaaX https://t.co/eZZFb13Ads,https://twitter.com/Farmaventas/status/1639220175760392192,,,6/3/23 10:22,astrazeneca barcelona
52,Mon Mar 27 15:31:01 +0000 2023,2360669288,,AstraZeneca to create 1000 new jobs in Barcelona with the largest-ever foreign R&ampD investment in Catalonia - https://t.co/LEcmfFUv17 https://t.co/n9LbDk6stC https://t.co/tdnHX3gTqQ,https://twitter.com/StartupGrindBCN/status/1640375880223539202,,,6/3/23 10:22,astrazeneca barcelona
53,Fri Mar 24 16:53:09 +0000 2023,2435302884,,El hub d’AstraZeneca aterra a Barcelona: 800 milions i 1.000 llocs de feina https://t.co/DnuW0dhDAu,https://twitter.com/FanaletFernando/status/1639309386068770831,,,6/3/23 10:22,astrazeneca barcelona
54,Fri Mar 24 23:27:44 +0000 2023,282282827,,AstraZeneca invertirá 800 millones en un 'hub' de innovación en salud en Barcelona https://t.co/lpT2DUBzir #PMFarma #empleo #salud vía @pmfarma,https://twitter.com/martinjofre74/status/1639408688199868418,,,6/3/23 10:22,astrazeneca barcelona
